date,gasoline,wti,gasoline_bbls,crack_spread,year,cpi_values,crack_spread_adj,gasoline_adj,gasoline_bbls_adj,wti_adj
1993-04-05,1.068,20.502000000000002,44.856,24.354,1993,103.1,23.62172647914646,1.0358874878758488,43.50727449078565,19.88554801163919
1993-04-12,1.079,20.3325,45.318,24.9855,1993,103.1,24.23423860329777,1.046556741028128,43.95538312318138,19.72114451988361
1993-04-19,1.079,20.189999999999998,45.318,25.128,1993,103.1,24.372453928225028,1.046556741028128,43.95538312318138,19.582929194956353
1993-04-26,1.086,19.918,45.612,25.694000000000003,1993,103.1,24.921435499515038,1.0533462657613968,44.24054316197867,19.319107662463626
1993-05-03,1.086,20.490000000000002,45.612,25.122,1993,104.4,24.063218390804597,1.0402298850574712,43.689655172413794,19.626436781609197
1993-05-10,1.097,20.44,46.074,25.633999999999997,1993,104.4,24.55363984674329,1.050766283524904,44.132183908045974,19.578544061302683
1993-05-17,1.106,19.878000000000004,46.452000000000005,26.574,1993,104.4,25.45402298850575,1.0593869731800767,44.49425287356322,19.040229885057474
1993-05-24,1.106,19.412,46.452000000000005,27.040000000000006,1993,104.4,25.900383141762457,1.0593869731800767,44.49425287356322,18.593869731800762
1993-05-31,1.107,19.939999999999998,46.494,26.554000000000002,1993,104.4,25.43486590038314,1.0603448275862069,44.53448275862068,19.099616858237546
1993-06-07,1.104,19.881999999999998,46.368,26.486000000000004,1993,106.5,24.869483568075122,1.0366197183098593,43.53802816901408,18.668544600938965
1993-06-14,1.101,19.294,46.242,26.947999999999997,1993,106.5,25.303286384976527,1.0338028169014084,43.41971830985915,18.11643192488263
1993-06-21,1.095,18.701999999999998,45.99,27.288000000000004,1993,106.5,25.62253521126761,1.028169014084507,43.183098591549296,17.56056338028169
1993-06-28,1.089,18.574,45.738,27.163999999999998,1993,106.5,25.506103286384974,1.0225352112676056,42.946478873239435,17.44037558685446
1993-07-05,1.086,18.545,45.612,27.067,1993,105.8,25.583175803402646,1.0264650283553878,43.11153119092628,17.528355387523632
1993-07-12,1.081,18.036,45.402,27.366,1993,105.8,25.865784499054822,1.0217391304347825,42.91304347826087,17.047258979206052
1993-07-19,1.075,17.636000000000003,45.15,27.513999999999996,1993,105.8,26.005671077504722,1.0160680529300568,42.67485822306239,16.66918714555766
